SRRacc	Mapped_reads	Ref_recovery%	Avg_fold(x)	Fold_std
ERR4969448	2433	66.2471	27.65	52.52
ERR4969449	4159	75.4670	47.41	83.52
ERR4969450	3774	77.2682	42.84	95.05
SRR11397718	755596	99.7355	3532.43	2843.64
SRR11397719	964853	97.8641	4471.12	4330.39
SRR11397720	553220	99.6217	2547.02	1453.49
SRR11397722	899620	99.7121	10253.68	7736.53
SRR11397723	419079	99.7087	4753.88	4425.74
SRR11397724	464829	99.7121	5266.72	3351.09
SRR11410538	610262	98.9153	4223.61	4581.24
SRR11410540	697396	99.6719	4813.41	4603.32
SRR11410537	2800830	99.7188	31744.84	29970.42
SRR11410539	2473521	99.7087	28060.57	23516.63
SRR11542244	233553	83.1369	622.63	936.79
SRR11547279	12801	78.3763	145.35	210.38
SRR11593354	3234613	99.7891	24464.05	16780.12
SRR11593355	2583810	99.8092	19508.38	12738.50
SRR11593356	2261944	99.7891	17050.99	14416.02
SRR11593357	1730146	99.8427	13056.96	7264.60
SRR11593358	2083142	99.4978	15753.65	11837.18
SRR11593351	882463	99.7087	10012.78	8908.37
SRR11593352	757998	99.7154	8606.36	7293.78
SRR11593353	741037	98.7580	8417.88	7624.39
SRR11593363	1002270	98.7412	11376.02	10965.08
SRR11593417	580574	99.7389	6596.58	6939.90
SRR13402847	346578	99.4309	1392.25	931.01
SRR13402848	302729	99.8025	1167.84	933.16
SRR13402840	18623	99.7087	210.57	123.51
SRR13402841	20260	99.7087	229.76	160.28
SRR12447386	164	26.5149	0.42	1.67
SRR12447387	527251	99.8594	4649.86	3556.54
SRR12447388	365402	99.7757	3216.38	3100.73
SRR12447389	418740	99.8862	3659.95	2630.46
SRR12447390	628002	99.8761	5503.38	5081.51
SRR12447391	446042	99.8661	3879.68	3504.70
SRR12447392	333834	99.9531	2870.24	4278.73
SRR12447393	116	32.6816	0.42	0.70
SRR12447394	751169	99.9531	6644.24	5478.15
SRR12447395	798993	99.8862	7074.83	5707.09
SRR12447396	817643	99.7891	7281.40	5972.53
SRR12447398	778309	99.7891	6771.57	4595.40
SRR12447399	572392	99.8895	3899.49	3609.47
SRR12447400	651743	99.7891	5467.03	3774.16
SRR12447401	791380	99.9263	7027.66	5185.29
SRR12447402	669856	99.8125	5798.89	5650.63
SRR12447403	827467	99.8962	7249.39	4071.60
SRR12447404	566308	99.9900	5085.00	2368.63
SRR12447429	639181	99.8192	5741.19	2656.93
SRR12447462	755983	99.8761	6609.84	2745.57
SRR12480527	5525	99.9096	63.47	21.39
SRR12480564	14952	99.8895	185.23	63.72
SRR12480567	14425	99.8962	176.24	54.89
SRR12447368	15662	99.7087	180.39	61.57
SRR12447371	15349	99.7087	176.22	54.47
SRR12447380	15711	99.7087	180.38	58.88
SRR12447493	16086	99.7087	185.70	64.00
SRR12447494	15831	99.7087	182.46	61.19
SRR12447495	16390	99.7087	188.35	68.54
SRR12447496	16038	99.7087	183.63	65.71
SRR12447498	16201	99.7054	185.68	65.62
SRR12447500	15147	99.7054	173.84	54.29
SRR12447502	15961	99.7087	182.90	62.46
SRR12447503	16012	99.7087	184.12	61.96
SRR12447504	15845	99.7087	182.21	60.14
SRR12447505	16063	99.7154	184.43	63.78
SRR12447506	15736	99.7087	180.25	59.90
SRR12447507	14228	99.7054	162.53	72.73
SRR12447509	13578	99.6953	155.10	80.70
SRR12447510	15669	99.7121	179.55	58.43
SRR12447511	15868	99.7087	182.23	60.14
SRR12447512	15792	99.7087	180.84	58.88
SRR12447513	15486	99.7087	177.60	57.29
SRR12480534	16422	99.7087	189.03	65.35
SRR12480535	16906	99.7087	192.98	66.29
SRR12480536	17617	99.7087	200.99	71.85
SRR12480537	16108	99.7087	184.32	66.04
SRR12480539	16425	99.7054	187.89	67.03
SRR12480541	15207	99.7054	174.44	54.41
SRR12480543	16340	99.7087	186.23	63.51
SRR12480544	16522	99.7087	189.00	64.51
SRR12480545	16201	99.7087	185.73	61.38
SRR12480546	16246	99.7154	186.27	64.46
SRR12480547	15989	99.7087	182.59	60.27
SRR12480548	14258	99.7054	162.85	72.89
SRR12480550	13586	99.6953	155.17	80.74
SRR12480551	16086	99.7121	183.36	59.48
SRR12480552	16171	99.7087	185.26	60.90
SRR12480553	16506	99.7087	187.53	61.71
SRR12480554	16606	99.7087	188.37	60.32
SRR13870625	155071	100.0000	740.88	1541.32
SRR13870626	140141	100.0000	668.10	1339.60
SRR13870646	3146201	100.0000	13886.65	7810.77
SRR13870647	200029	100.0000	957.20	1957.57
SRR13870648	165906	99.9900	793.83	1489.62
SRR13870651	2614515	99.9900	11760.49	6311.35
SRR13870653	1490665	99.9732	6671.16	3792.53
SRR13870654	2054345	99.9464	9250.49	4827.20
SRR13870657	1894778	99.9464	7966.70	5001.32
SRR13870658	2253212	99.9665	9883.06	5819.64
SRR13870668	5984415	99.9900	28366.27	28973.96
SRR13870669	6935357	100.0000	32837.35	32373.38
SRR13870670	6513244	99.9933	30875.05	29860.30
SRR13870671	5517071	99.9967	26134.92	26125.12
SRR13870672	5498022	100.0000	26024.05	25113.71
SRR13870673	6395267	100.0000	30281.62	31356.36
SRR13870681	145935	100.0000	697.63	1514.22
SRR13870682	241322	99.9900	1155.33	2377.74
SRR13870633	194966	99.9967	3969.91	2115.56
SRR13870634	184947	100.0000	4189.80	2088.22
SRR13870635	224223	100.0000	4502.01	2545.61
SRR13870636	217183	100.0000	4960.81	2519.76
SRR13870638	277994	100.0000	6099.10	3349.11
SRR13870639	294766	100.0000	6940.63	3649.40
